# Color codes from Table 5, Harre & Heller (2021), "Digital color codes of stars", Astronomische Nachrichten, in press. 
# arxiv: 2101.06254
HD242908    O   5   0   7.9e5   44500   0.358   0.486   1.000
HD35215     B   1   1   1.6e4   25400   0.379   0.507   1.000
HD30584     B   6   1   500     14000   0.429   0.547   1.000
HD116608    A   1   2   35      9230    0.508   0.616   1.000
HD111525    A   7   2   10.5    7850    0.636   0.712   1.000
HD10032     F   0   3   6.5     7200    0.725   0.773   1.000
HD6111      F   8   3   2.1     6200    0.955   0.931   1.000
HD66171     G   2   4   1.1     5860    1.000   0.931   0.905
HD33278     G   9   4   0.5     5500    1.000   0.898   0.813
SAO76803    K   5   5   0.15    4350    1.000   0.696   0.470
HD260655    M   0   6   0.077   3850    1.000   0.636   0.354
YALE1755    M   5   6   0.011   3240    1.000   0.638   0.315
